               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10929,            0.014918,            0.077447,           0.0035517,             0.23684,             0.04426,            0.022213,            0.078494,           0.0099129,            0.046602,              0.0982,              0.0002,              0.0002
                   1,              0.1137,            0.012514,            0.077761,           0.0047207,             0.31579,            0.039909,            0.015216,            0.076306,            0.010329,             0.04651,            0.095499,          0.00049901,          0.00049901
                   2,             0.10519,            0.016212,            0.076882,           0.0085547,             0.47995,            0.014642,           0.0020542,            0.073105,            0.010746,            0.046486,            0.092797,          0.00079683,          0.00079683
                   3,             0.09967,            0.018238,            0.069479,           0.0077816,             0.46617,            0.020151,           0.0032222,            0.069614,            0.011601,            0.045314,            0.090093,           0.0010935,           0.0010935
                   4,            0.091595,            0.022189,            0.066988,            0.016383,             0.84962,            0.038142,           0.0053215,             0.06621,            0.011972,            0.044326,            0.087389,           0.0013889,           0.0013889
                   5,            0.080851,            0.019198,            0.063246,            0.017364,                   1,            0.040826,           0.0072392,             0.05697,            0.013653,            0.044262,            0.084683,           0.0016832,           0.0016832
                   6,            0.079645,            0.024859,            0.060482,            0.014631,                   1,             0.12321,            0.020638,            0.050746,            0.014254,            0.043564,            0.081976,           0.0019762,           0.0019762
                   7,            0.077943,            0.021827,            0.060356,            0.012889,                   1,             0.10283,            0.024455,            0.048018,            0.014573,             0.04249,            0.079268,           0.0022681,           0.0022681
                   8,            0.076112,            0.024819,            0.056161,            0.011474,                   1,             0.15203,            0.037936,             0.04063,            0.015039,            0.039302,            0.076559,           0.0025588,           0.0025588
                   9,            0.070276,            0.026457,            0.050365,            0.011068,                   1,             0.20156,            0.057941,            0.037812,            0.014894,            0.036387,            0.073848,           0.0028483,           0.0028483
                  10,             0.06453,            0.024183,            0.047038,            0.067671,             0.92105,             0.12906,            0.063541,            0.042496,            0.012737,            0.031206,            0.071137,           0.0031366,           0.0031366
                  11,            0.063739,            0.024995,            0.042685,              0.1842,             0.84712,             0.36124,             0.12502,            0.041858,            0.012165,            0.029419,            0.068424,           0.0034238,           0.0034238
                  12,            0.061743,            0.023214,            0.040791,            0.073779,              0.8183,             0.12556,            0.043022,            0.054641,            0.011159,            0.027138,             0.06571,           0.0037097,           0.0037097
                  13,            0.063357,            0.017202,            0.037389,             0.15275,             0.97368,             0.19264,             0.10496,            0.041837,            0.012293,            0.027339,            0.062994,           0.0039945,           0.0039945
                  14,             0.06156,            0.021095,            0.036229,            0.093658,                   1,             0.11823,            0.054444,            0.052867,              0.0127,             0.02838,            0.060278,            0.004278,            0.004278
